datetime,open,high,low,close,volume,symbol
2025-07-22 17:30:00,1.16886,1.16898,1.16882,1.16893,,EUR/USD
2025-07-22 17:29:00,1.16882,1.16891,1.16879,1.16886,,EUR/USD
2025-07-22 17:28:00,1.16877,1.16894,1.16869,1.16885,,EUR/USD
2025-07-22 17:27:00,1.16869,1.16885,1.16864,1.16874,,EUR/USD
2025-07-22 17:26:00,1.16868,1.16877,1.16865,1.16868,,EUR/USD
2025-07-22 17:25:00,1.16857,1.16873,1.16854,1.16869,,EUR/USD
2025-07-22 17:24:00,1.16862,1.16869,1.16854,1.16857,,EUR/USD
2025-07-22 17:23:00,1.16857,1.1688,1.16852,1.16874,,EUR/USD
2025-07-22 17:22:00,1.16851,1.16856,1.16842,1.16852,,EUR/USD
2025-07-22 17:21:00,1.16853,1.16857,1.16844,1.16852,,EUR/USD
2025-07-22 17:20:00,1.16854,1.16865,1.16847,1.1685,,EUR/USD
2025-07-22 17:19:00,1.16846,1.16852,1.16834,1.16843,,EUR/USD
2025-07-22 17:18:00,1.16837,1.16862,1.16833,1.16846,,EUR/USD
2025-07-22 17:17:00,1.16852,1.16855,1.16833,1.16839,,EUR/USD
2025-07-22 17:16:00,1.16855,1.16858,1.16844,1.16851,,EUR/USD
2025-07-22 17:15:00,1.16859,1.16871,1.16855,1.16867,,EUR/USD
2025-07-22 17:14:00,1.1687,1.16874,1.16852,1.1687,,EUR/USD
2025-07-22 17:13:00,1.16878,1.16881,1.16865,1.16868,,EUR/USD
2025-07-22 17:12:00,1.16879,1.16884,1.16873,1.16876,,EUR/USD
2025-07-22 17:11:00,1.16867,1.16888,1.16863,1.16878,,EUR/USD
2025-07-22 17:10:00,1.1687,1.16889,1.16864,1.16871,,EUR/USD
2025-07-22 17:09:00,1.16884,1.16887,1.16855,1.1686,,EUR/USD
2025-07-22 07:39:00,118326.75,118348.53,118272.13,118272.61,,BTC/USD
2025-07-22 07:38:00,118328.52,118333.78,118284.98,118326.7,,BTC/USD
2025-07-22 07:37:00,118417.56,118419.64,118328.49,118328.52,,BTC/USD
2025-07-22 07:36:00,118324.2,118440.71,118324.2,118410.26,,BTC/USD
2025-07-22 07:35:00,118273.07,118324.2,118273.07,118324.2,,BTC/USD
2025-07-22 07:34:00,118286.27,118310.25,118264.34,118267.45,,BTC/USD
2025-07-22 07:33:00,118353.67,118359.21,118257.69,118286.26,,BTC/USD
2025-07-22 07:32:00,118376.87,118376.87,118304.8,118359.67,,BTC/USD
2025-07-22 07:31:00,118443.91,118456.13,118326.01,118376.88,,BTC/USD
2025-07-22 07:30:00,118620.62,118631.74,118443.9,118443.91,,BTC/USD
2025-07-22 07:29:00,118636.1,118641.86,118570.21,118620.61,,BTC/USD
2025-07-22 07:28:00,118580.39,118641.86,118568.75,118636.1,,BTC/USD
2025-07-22 07:27:00,118563.5,118580.39,118560.0,118580.39,,BTC/USD
2025-07-22 07:26:00,118564.95,118569.36,118528.74,118560.0,,BTC/USD
2025-07-22 07:25:00,118460.28,118577.99,118460.28,118559.29,,BTC/USD
2025-07-22 07:24:00,118410.2,118468.08,118410.19,118460.28,,BTC/USD
2025-07-22 07:23:00,118410.01,118417.37,118403.56,118410.2,,BTC/USD
2025-07-22 07:22:00,118452.38,118462.25,118394.07,118410.01,,BTC/USD
2025-07-22 07:21:00,118340.42,118468.35,118330.26,118452.37,,BTC/USD
2025-07-22 07:20:00,118368.43,118435.86,118327.49,118340.42,,BTC/USD
2025-07-22 07:19:00,118354.04,118370.37,118341.56,118368.43,,BTC/USD
2025-07-22 07:18:00,118287.95,118390.2,118287.95,118354.03,,BTC/USD
2025-07-22 07:17:00,118338.13,118344.3,118287.92,118290.5,,BTC/USD
2025-07-22 07:16:00,118376.54,118380.53,118335.04,118338.13,,BTC/USD
2025-07-22 07:15:00,118339.59,118386.57,118283.84,118376.65,,BTC/USD
2025-07-22 07:14:00,118298.83,118341.75,118278.83,118337.45,,BTC/USD
2025-07-22 07:13:00,118245.89,118298.87,118245.89,118298.82,,BTC/USD
2025-07-22 07:12:00,118254.48,118269.19,118191.68,118245.91,,BTC/USD
2025-07-22 07:11:00,118245.44,118266.47,118219.34,118254.47,,BTC/USD
2025-07-22 07:10:00,118158.04,118259.6,118139.25,118245.55,,BTC/USD
